rank,content_id,baseline_score,reason_code,action,impressions_90d,ctr,avg_position
52,content_79b25654070a,0.9320334379897759,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",148737,0.48,3.7
53,content_c812024bf065,0.9312194258781215,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",138294,0.28,5.1
54,content_c1fe78bc4e37,0.9310145921980391,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",134055,0.03,7.5
55,content_e9c6e67086f6,0.9309497825811183,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",126441,0.21,4.5
56,content_ea7cea4a8fd9,0.9309016815067813,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",169602,0.57,5.4
57,content_e59e3357a212,0.9306951475672482,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",131688,0.21,5.3
58,content_a4cc7da6287b,0.9301807414040789,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",127833,0.23,4.8
59,content_8dacab06e291,0.9300962736016992,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",127907,0.34,3.6
60,content_a270c8a21b36,0.929875484414561,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",122288,0.22,4.3
61,content_8ba747cf969e,0.9293692404947903,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",152968,0.15,9.1
62,content_bc104ff59d1a,0.9293370533284067,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",132918,0.33,4.7
63,content_2351a62a5d49,0.9289623925766468,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",129345,0.26,5.2
64,content_11900bd7941a,0.928796671554352,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",123561,0.41,2.8
65,content_537a9582568a,0.9286005657316001,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",124870,0.16,5.9
66,content_4c76e9b13aea,0.9284484646769375,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",127952,0.07,7.4
67,content_399f4eed93b9,0.9281762478386,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",127658,0.43,3.4
68,content_32ea6aa8091a,0.9281121957033687,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",145501,0.16,8.7
69,content_c5063073d048,0.9281013804355152,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",192205,0.24,12.5
70,content_0919dd345d80,0.9279367650187104,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",119217,0.02,7.0
71,content_b6100a228edc,0.9275990811744601,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",121045,0.1,6.5
72,content_1f811f9fd704,0.9275888017059445,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",140776,0.44,5.2
73,content_53f466b9f954,0.9274882626950234,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",125859,0.33,4.6
74,content_593a9691b458,0.9274352462702515,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",115223,0.13,5.4
75,content_fac19fcdfb85,0.9272807709449833,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",126611,0.25,5.7
76,content_aa1b92cfb048,0.9271641577896454,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",112212,0.11,5.3
77,content_42d423551e2c,0.9268680221450368,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",106652,0.09,4.8
78,content_b115f7c74779,0.9267637058628623,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",123469,0.03,8.0
79,content_6935194d6d56,0.9266889620479841,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",117210,0.22,5.0
80,content_154aa47edd03,0.9266822454297142,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",113501,0.19,4.8
81,content_3cc803523902,0.9266246097923908,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",144195,0.54,4.9
82,content_14af58873e4f,0.926519460461604,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",163479,0.59,6.5
83,content_62ed76850efc,0.9263368664109114,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",167858,0.76,5.1
84,content_45fb95832c96,0.9263292344174685,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",126633,0.12,7.6
85,content_2dba2b1f9536,0.9259901114826505,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",443434,0.21,27.9
86,content_e6e15ac13287,0.9258770846398028,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",128704,0.4,4.9
87,content_03d2673b2553,0.9257429120972233,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",143314,0.83,1.9
88,content_080e819b7f2e,0.9256384512971233,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",117111,0.11,6.7
89,content_39881853ef0c,0.9255158207612707,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",112434,0.01,7.2
90,content_3b4942d2eb7e,0.9255096285322288,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",133697,0.33,6.5
91,content_e5ae436f9a16,0.9254928242870376,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",117741,0.45,3.0
92,content_302dff6caa63,0.9253586502302049,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",113892,0.15,5.9
93,content_adddad39251c,0.9251328277146215,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",129239,0.55,3.6
94,content_8bf0457e471e,0.9250633771166448,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",97887,0.13,3.7
95,content_fd3422d11e9f,0.9248999530489727,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",117983,0.15,6.7
96,content_33da44cb09c9,0.9248049644548455,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",114528,0.18,5.9
97,content_e617a6dc2bf8,0.9246747336153254,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",131617,0.26,7.4
98,content_654d006adc44,0.9246153030462573,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",131328,0.7,2.4
99,content_d1027107cda8,0.9245704762019925,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",118878,0.28,5.5
100,content_76e77629e9f1,0.924482042009229,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",105643,0.09,5.7
101,content_9f3faa01b66c,0.9240598269122955,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",114232,0.32,4.6
102,content_7760b682ccf3,0.9239047854834243,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",121422,0.32,5.7
103,content_12a1ed6d5a62,0.9233913616127023,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",113535,0.39,4.0
104,content_a19c8ee994c2,0.9231081637620137,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",124782,0.63,3.0
105,content_c0c72e7582e1,0.9230969082333247,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",103857,0.26,4.1
